System1;;x;y;z
point;1;2441775.419;799268.1;5818729.162
point;2;3464655.838;845749.989;5270271.528
point;3;3309991.828;828932.118;5370882.28
point;4;3160763.338;759160.187;5469345.504
point;5;2248123.493;865686.595;5886425.596
point;6;3022573.157;802945.69;5540683.951
point;7;3104219.427;998384.028;5463290.505
point;8;2998189.685;931451.634;5533398.462
point;9;3199093.294;932231.327;5420322.483
point;10;3370658.823;711876.99;5349786.786
point;11;3341340.173;957912.343;5330003.236
point;12;2534031.166;975174.455;5752078.309
point;13;2838909.903;903822.098;5620660.184
point;14;2902495.079;761455.843;5609859.672
point;15;2682407.89;950395.934;5688993.082
point;16;2620258.868;779138.041;5743799.267
point;17;3246470.535;1077900.355;5365277.896
point;18;3249408.275;692757.965;5426396.948
point;19;2763885.496;733247.387;5682653.347
point;20;2368885.005;994492.233;5818478.154
;;;;
System2;;x;y;z
Point;1;2441276.712;799286.666;5818162.025
Point;2;3464161.275;845805.461;5269712.429
Point;3;3309496.8;828981.942;5370322.06
Point;4;3160269.913;759204.574;5468784.081
Point;5;2247621.426;865698.413;5885856.498
Point;6;3022077.34;802985.055;5540121.276
Point;7;3103716.966;998426.412;5462727.814
Point;8;2997689.029;931490.201;5532835.154
Point;9;3198593.776;932277.179;5419760.966
Point;10;3370168.626;711928.884;5349227.574
Point;11;3340840.578;957963.383;5329442.724
Point;12;2533526.497;975196.347;5751510.935
Point;13;2838409.359;903854.897;5620095.593
Point;14;2902000.172;761490.908;5609296.343
Point;15;2681904.794;950423.098;5688426.909
Point;16;2619761.81;779162.964;5743233.63
Point;17;3245966.134;1077947.976;5364716.214
Point;18;3248918.041;692805.543;5425836.841
Point;19;2763390.878;733277.458;5682089.111
Point;20;2368378.937;994508.273;5817909.286